Time,Speed,Sigma,Kill Rate,Mode,Row Spacing,Transition,Result
300,6,4.95,0.5,1,1.98,0.2,7236.9
300,6,4.95,0.5,1,1.98,0.4,7996
300,6,4.95,0.5,1,1.98,0.6,8313.2
300,6,4.95,0.5,1,4.95,0.2,4207.8
300,6,4.95,0.5,1,4.95,0.4,4514.5
300,6,4.95,0.5,1,4.95,0.6,4639.9
300,6,4.95,0.5,1,9.9,0.2,2352.1
300,6,4.95,0.5,1,9.9,0.4,2635.3
300,6,4.95,0.5,1,9.9,0.6,2765
300,6,4.95,0.5,1,19.8,0.2,2352.1
300,6,4.95,0.5,1,19.8,0.4,2635.3
300,6,4.95,0.5,1,19.8,0.6,2765
300,6,4.95,0.5,2,1.98,0.2,7236.9
300,6,4.95,0.5,2,1.98,0.4,7996
300,6,4.95,0.5,2,1.98,0.6,8313.2
300,6,4.95,0.5,2,4.95,0.2,4207.8
300,6,4.95,0.5,2,4.95,0.4,4514.5
300,6,4.95,0.5,2,4.95,0.6,4639.9
300,6,4.95,0.5,2,9.9,0.2,2352.1
300,6,4.95,0.5,2,9.9,0.4,2635.3
300,6,4.95,0.5,2,9.9,0.6,2765
300,6,4.95,0.5,2,19.8,0.2,2352.1
300,6,4.95,0.5,2,19.8,0.4,2635.3
300,6,4.95,0.5,2,19.8,0.6,2765
300,6,4.95,0.5,3,1.98,0.2,7236.9
300,6,4.95,0.5,3,1.98,0.4,7996
300,6,4.95,0.5,3,1.98,0.6,8313.2
300,6,4.95,0.5,3,4.95,0.2,4207.8
300,6,4.95,0.5,3,4.95,0.4,4514.5
300,6,4.95,0.5,3,4.95,0.6,4639.9
300,6,4.95,0.5,3,9.9,0.2,2352.1
300,6,4.95,0.5,3,9.9,0.4,2635.3
300,6,4.95,0.5,3,9.9,0.6,2765
300,6,4.95,0.5,3,19.8,0.2,2352.1
300,6,4.95,0.5,3,19.8,0.4,2635.3
300,6,4.95,0.5,3,19.8,0.6,2765
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.2,9581.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9562.7
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.5
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.4,9565.7
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,4,0,0.6,9562.6
300,6,4.95,0.5,5,0,0.2,9975.3
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9975.3
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9974.9
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9974.9
300,6,4.95,0.5,5,0,0.2,9974.9
300,6,4.95,0.5,5,0,0.2,9975.4
300,6,4.95,0.5,5,0,0.2,9974.9
300,6,4.95,0.5,5,0,0.2,9974.9
