Time (s),Speed (m/s),Sigma,Kill Rate,Mode,Row Spacing,Kill Total
300,6,4.95,0.5,1,1.98,8562.030004
300,6,4.95,0.5,1,4.95,4699.815167
300,6,4.95,0.5,1,9.9,155.3173594
300,6,4.95,0.5,1,19.8,155.3173594
300,6,4.95,0.5,2,1.98,8562.030004
300,6,4.95,0.5,2,4.95,4699.815167
300,6,4.95,0.5,2,9.9,155.3173594
300,6,4.95,0.5,2,19.8,155.3173594
300,6,4.95,0.5,3,1.98,8562.030004
300,6,4.95,0.5,3,4.95,4699.815167
300,6,4.95,0.5,3,9.9,155.3173594
300,6,4.95,0.5,3,19.8,155.3173594
300,6,4.95,0.5,4,0,9449.120607
300,6,4.95,0.5,4,0,8206.01391
300,6,4.95,0.5,4,0,8208.677492
300,6,4.95,0.5,4,0,8190.809567
300,6,4.95,0.5,4,0,9499.662266
300,6,4.95,0.5,4,0,8238.128752
300,6,4.95,0.5,4,0,8278.921715
300,6,4.95,0.5,4,0,8202.381514
300,6,4.95,0.5,4,0,8322.872219
300,6,4.95,0.5,4,0,9494.698904
300,6,4.95,0.5,4,0,8253.626274
300,6,4.95,0.5,4,0,9476.734343
300,6,4.95,0.5,4,0,8262.305166
300,6,4.95,0.5,4,0,8278.921715
300,6,4.95,0.5,4,0,8253.626273
300,6,4.95,0.5,4,0,8192.569642
300,6,4.95,0.5,4,0,8171.478263
300,6,4.95,0.5,4,0,8206.013654
300,6,4.95,0.5,4,0,9459.433545
300,6,4.95,0.5,4,0,8281.86498
300,6,4.95,0.5,5,0,9905.022082
300,6,4.95,0.5,5,0,9970.270526
300,6,4.95,0.5,5,0,9902.07431
300,6,4.95,0.5,5,0,9970.740332
300,6,4.95,0.5,5,0,9967.535735
300,6,4.95,0.5,5,0,9902.074315
300,6,4.95,0.5,5,0,9900.384969
300,6,4.95,0.5,5,0,9906.971374
300,6,4.95,0.5,5,0,9898.371855
300,6,4.95,0.5,5,0,9899.335933
300,6,4.95,0.5,5,0,9970.864641
300,6,4.95,0.5,5,0,9905.959914
300,6,4.95,0.5,5,0,9971.293889
300,6,4.95,0.5,5,0,9952.977323
300,6,4.95,0.5,5,0,9951.713915
300,6,4.95,0.5,5,0,9970.261292
300,6,4.95,0.5,5,0,9969.09087
300,6,4.95,0.5,5,0,9907.77264
300,6,4.95,0.5,5,0,9970.864643
300,6,4.95,0.5,5,0,9965.941689
300,6,4.95,0.7,1,1.98,8793.050021
300,6,4.95,0.7,1,4.95,5239.805021
300,6,4.95,0.7,1,9.9,217.4443031
300,6,4.95,0.7,1,19.8,217.4443031
300,6,4.95,0.7,2,1.98,8793.050021
300,6,4.95,0.7,2,4.95,5239.805021
300,6,4.95,0.7,2,9.9,217.4443031
300,6,4.95,0.7,2,19.8,217.4443031
300,6,4.95,0.7,3,1.98,8793.050021
300,6,4.95,0.7,3,4.95,5239.805021
300,6,4.95,0.7,3,9.9,217.4443031
300,6,4.95,0.7,3,19.8,217.4443031
300,6,4.95,0.7,4,0,8899.661041
300,6,4.95,0.7,4,0,9749.500924
300,6,4.95,0.7,4,0,8901.115157
300,6,4.95,0.7,4,0,9782.979873
300,6,4.95,0.7,4,0,9785.671541
300,6,4.95,0.7,4,0,9748.459745
300,6,4.95,0.7,4,0,8940.138341
300,6,4.95,0.7,4,0,9784.656676
300,6,4.95,0.7,4,0,9774.67141
300,6,4.95,0.7,4,0,9033.364228
300,6,4.95,0.7,4,0,9722.386779
300,6,4.95,0.7,4,0,8930.534833
300,6,4.95,0.7,4,0,8926.918012
300,6,4.95,0.7,4,0,9007.67671
300,6,4.95,0.7,4,0,8903.313767
300,6,4.95,0.7,4,0,9784.656677
300,6,4.95,0.7,4,0,8916.970442
300,6,4.95,0.7,4,0,9705.670295
300,6,4.95,0.7,4,0,9779.785256
300,6,4.95,0.7,4,0,8944.660922
300,6,4.95,0.7,5,0,9972.435169
300,6,4.95,0.7,5,0,9972.30914
300,6,4.95,0.7,5,0,9992.522684
300,6,4.95,0.7,5,0,9974.831491
300,6,4.95,0.7,5,0,9988.521309
300,6,4.95,0.7,5,0,9973.217397
300,6,4.95,0.7,5,0,9971.566704
300,6,4.95,0.7,5,0,9992.724292
300,6,4.95,0.7,5,0,9973.654624
300,6,4.95,0.7,5,0,9973.654624
300,6,4.95,0.7,5,0,9992.575231
300,6,4.95,0.7,5,0,9973.046175
300,6,4.95,0.7,5,0,9994.081842
300,6,4.95,0.7,5,0,9971.95029
300,6,4.95,0.7,5,0,9993.775473
300,6,4.95,0.7,5,0,9973.654625
300,6,4.95,0.7,5,0,9991.876398
300,6,4.95,0.7,5,0,9972.955173
300,6,4.95,0.7,5,0,9994.192302
300,6,4.95,0.7,5,0,9972.955173
300,6,4.95,0.9,1,1.98,8920.595897
300,6,4.95,0.9,1,4.95,5592.03673
300,6,4.95,0.9,1,9.9,279.5712468
300,6,4.95,0.9,1,19.8,279.5712468
300,6,4.95,0.9,2,1.98,8920.595897
300,6,4.95,0.9,2,4.95,5592.03673
300,6,4.95,0.9,2,9.9,279.5712468
300,6,4.95,0.9,2,19.8,279.5712468
300,6,4.95,0.9,3,1.98,8920.595897
300,6,4.95,0.9,3,4.95,5592.03673
300,6,4.95,0.9,3,9.9,279.5712468
300,6,4.95,0.9,3,19.8,279.5712468
300,6,4.95,0.9,4,0,9366.907016
300,6,4.95,0.9,4,0,9896.277723
300,6,4.95,0.9,4,0,9356.620612
300,6,4.95,0.9,4,0,9361.633774
300,6,4.95,0.9,4,0,9465.77872
300,6,4.95,0.9,4,0,9887.511883
300,6,4.95,0.9,4,0,9378.030226
300,6,4.95,0.9,4,0,9424.463024
300,6,4.95,0.9,4,0,9323.624015
300,6,4.95,0.9,4,0,9342.038485
300,6,4.95,0.9,4,0,9319.61774
300,6,4.95,0.9,4,0,9288.449125
300,6,4.95,0.9,4,0,9279.981707
300,6,4.95,0.9,4,0,9334.343803
300,6,4.95,0.9,4,0,9899.106068
300,6,4.95,0.9,4,0,9361.385836
300,6,4.95,0.9,4,0,9900.336709
300,6,4.95,0.9,4,0,9897.948977
300,6,4.95,0.9,4,0,9323.624015
300,6,4.95,0.9,4,0,9323.411375
300,6,4.95,0.9,5,0,9991.188717
300,6,4.95,0.9,5,0,9998.494059
300,6,4.95,0.9,5,0,9997.3143
300,6,4.95,0.9,5,0,9992.016548
300,6,4.95,0.9,5,0,9998.703173
300,6,4.95,0.9,5,0,9991.272047
300,6,4.95,0.9,5,0,9991.534946
300,6,4.95,0.9,5,0,9998.633139
300,6,4.95,0.9,5,0,9996.600068
300,6,4.95,0.9,5,0,9998.625406
300,6,4.95,0.9,5,0,9998.692599
300,6,4.95,0.9,5,0,9998.642742
300,6,4.95,0.9,5,0,9998.651827
300,6,4.95,0.9,5,0,9998.630789
300,6,4.95,0.9,5,0,9997.1458
300,6,4.95,0.9,5,0,9998.093685
300,6,4.95,0.9,5,0,9992.267762
300,6,4.95,0.9,5,0,9991.769344
300,6,4.95,0.9,5,0,9998.629882
300,6,4.95,0.9,5,0,9998.625406
300,6,9.9,0.5,1,1.98,3557.768176
300,6,9.9,0.5,1,4.95,2004.12701
300,6,9.9,0.5,1,9.9,45.81989886
300,6,9.9,0.5,1,19.8,45.81989886
300,6,9.9,0.5,2,1.98,3557.768176
300,6,9.9,0.5,2,4.95,2004.12701
300,6,9.9,0.5,2,9.9,45.81989886
300,6,9.9,0.5,2,19.8,45.81989886
300,6,9.9,0.5,3,1.98,3557.768176
300,6,9.9,0.5,3,4.95,2004.12701
300,6,9.9,0.5,3,9.9,45.81989886
300,6,9.9,0.5,3,19.8,45.81989886
300,6,9.9,0.5,4,0,5659.448978
300,6,9.9,0.5,4,0,5655.149578
300,6,9.9,0.5,4,0,5659.449195
300,6,9.9,0.5,4,0,5655.148753
300,6,9.9,0.5,4,0,5648.697586
300,6,9.9,0.5,4,0,5660.215009
300,6,9.9,0.5,4,0,5660.039119
300,6,9.9,0.5,4,0,5660.217128
300,6,9.9,0.5,4,0,5656.029298
300,6,9.9,0.5,4,0,5660.047585
300,6,9.9,0.5,4,0,5645.125328
300,6,9.9,0.5,4,0,5660.379248
300,6,9.9,0.5,4,0,5655.148733
300,6,9.9,0.5,4,0,5660.21501
300,6,9.9,0.5,4,0,5660.215554
300,6,9.9,0.5,4,0,5660.215009
300,6,9.9,0.5,4,0,5657.757095
300,6,9.9,0.5,4,0,5655.146399
300,6,9.9,0.5,4,0,5655.148734
300,6,9.9,0.5,4,0,5660.365914
300,6,9.9,0.5,5,0,7910.500296
300,6,9.9,0.5,5,0,7912.273583
300,6,9.9,0.5,5,0,7912.275716
300,6,9.9,0.5,5,0,7905.560794
300,6,9.9,0.5,5,0,7912.273519
300,6,9.9,0.5,5,0,7912.273526
300,6,9.9,0.5,5,0,7912.273519
300,6,9.9,0.5,5,0,7912.275773
300,6,9.9,0.5,5,0,7912.273526
300,6,9.9,0.5,5,0,7912.273969
300,6,9.9,0.5,5,0,7912.273519
300,6,9.9,0.5,5,0,7912.273576
300,6,9.9,0.5,5,0,7912.273526
300,6,9.9,0.5,5,0,7909.82496
300,6,9.9,0.5,5,0,7912.273519
300,6,9.9,0.5,5,0,7924.337682
300,6,9.9,0.5,5,0,7912.273519
300,6,9.9,0.5,5,0,7916.068959
300,6,9.9,0.5,5,0,7912.273576
300,6,9.9,0.5,5,0,7912.238498
300,6,9.9,0.7,1,1.98,3781.253325
300,6,9.9,0.7,1,4.95,2288.684526
300,6,9.9,0.7,1,9.9,64.14785841
300,6,9.9,0.7,1,19.8,64.14785841
300,6,9.9,0.7,2,1.98,3781.253325
300,6,9.9,0.7,2,4.95,2288.684526
300,6,9.9,0.7,2,9.9,64.14785841
300,6,9.9,0.7,2,19.8,64.14785841
300,6,9.9,0.7,3,1.98,3781.253325
300,6,9.9,0.7,3,4.95,2288.684526
300,6,9.9,0.7,3,9.9,64.14785841
300,6,9.9,0.7,3,19.8,64.14785841
300,6,9.9,0.7,4,0,6629.879542
300,6,9.9,0.7,4,0,6611.327544
300,6,9.9,0.7,4,0,6620.439504
300,6,9.9,0.7,4,0,6611.327249
300,6,9.9,0.7,4,0,6611.344145
300,6,9.9,0.7,4,0,6626.819842
300,6,9.9,0.7,4,0,6599.256072
300,6,9.9,0.7,4,0,6611.342623
300,6,9.9,0.7,4,0,6620.438701
300,6,9.9,0.7,4,0,6625.244942
300,6,9.9,0.7,4,0,6635.198204
300,6,9.9,0.7,4,0,6620.438523
300,6,9.9,0.7,4,0,6620.442781
300,6,9.9,0.7,4,0,6615.42924
300,6,9.9,0.7,4,0,6624.694216
300,6,9.9,0.7,4,0,6629.195177
300,6,9.9,0.7,4,0,6611.333444
300,6,9.9,0.7,4,0,6623.121913
300,6,9.9,0.7,4,0,6625.772032
300,6,9.9,0.7,4,0,6620.066179
300,6,9.9,0.7,5,0,8671.279668
300,6,9.9,0.7,5,0,8671.280137
300,6,9.9,0.7,5,0,8671.785916
300,6,9.9,0.7,5,0,8671.28011
300,6,9.9,0.7,5,0,8671.278194
300,6,9.9,0.7,5,0,8671.280138
300,6,9.9,0.7,5,0,8671.280137
300,6,9.9,0.7,5,0,8671.27969
300,6,9.9,0.7,5,0,8671.278194
300,6,9.9,0.7,5,0,8671.280138
300,6,9.9,0.7,5,0,8671.278303
300,6,9.9,0.7,5,0,8666.670066
