Time (s),Speed (m/s),Sticking C,k,killRate,Mode,Row spacing (m,Kill Total
300,6,0.25,0.2,0.5,1,2,885.8081392
300,6,0.25,0.2,0.7,1,2,1114.002363
300,6,0.25,0.2,0.9,1,2,1293.649963
300,6,0.25,0.4,0.5,1,2,945.3661848
300,6,0.25,0.4,0.7,1,2,1216.22316
300,6,0.25,0.4,0.9,1,2,1441.753615
300,6,0.25,0.6,0.5,1,2,973.9867253
300,6,0.25,0.6,0.7,1,2,1266.52454
300,6,0.25,0.6,0.9,1,2,1516.371655
300,6,0.5,0.2,0.5,1,2,1184.764943
300,6,0.5,0.2,0.7,1,2,1445.842979
300,6,0.5,0.2,0.9,1,2,1635.366865
300,6,0.5,0.4,0.5,1,2,1279.826265
300,6,0.5,0.4,0.7,1,2,1602.850068
300,6,0.5,0.4,0.9,1,2,1854.307513
300,6,0.5,0.6,0.5,1,2,1329.191602
300,6,0.5,0.6,0.7,1,2,1686.710097
300,6,0.5,0.6,0.9,1,2,1974.556259
300,6,0.75,0.2,0.5,1,2,1881.279847
300,6,0.75,0.2,0.7,1,2,2182.195337
300,6,0.75,0.2,0.9,1,2,2367.251246
300,6,0.75,0.4,0.5,1,2,2039.602874
300,6,0.75,0.4,0.7,1,2,2426.857448
300,6,0.75,0.4,0.9,1,2,2686.607135
300,6,0.75,0.6,0.5,1,2,2133.708755
300,6,0.75,0.6,0.7,1,2,2576.466389
300,6,0.75,0.6,0.9,1,2,2887.388999
300,9,0.25,0.2,0.5,1,2,1130.495908
300,9,0.25,0.2,0.7,1,2,1358.014198
300,9,0.25,0.2,0.9,1,2,1520.12808
300,9,0.25,0.4,0.5,1,2,1251.314189
300,9,0.25,0.4,0.7,1,2,1548.352563
300,9,0.25,0.4,0.9,1,2,1775.453616
300,9,0.25,0.6,0.5,1,2,1313.713805
300,9,0.25,0.6,0.7,1,2,1650.544493
300,9,0.25,0.6,0.9,1,2,1917.448876
300,9,0.5,0.2,0.5,1,2,1452.731896
300,9,0.5,0.2,0.7,1,2,1685.524703
300,9,0.5,0.2,0.9,1,2,1837.313704
300,9,0.5,0.4,0.5,1,2,1628.53506
300,9,0.5,0.4,0.7,1,2,1947.122008
300,9,0.5,0.4,0.9,1,2,2170.969093
300,9,0.5,0.6,0.5,1,2,1727.066812
300,9,0.5,0.6,0.7,1,2,2099.909712
300,9,0.5,0.6,0.9,1,2,2372.921763
300,9,0.75,0.2,0.5,1,2,2173.888711
300,9,0.75,0.2,0.7,1,2,2395.573316
300,9,0.75,0.2,0.9,1,2,2519.971035
300,9,0.75,0.4,0.5,1,2,2430.209287
300,9,0.75,0.4,0.7,1,2,2744.686737
300,9,0.75,0.4,0.9,1,2,2933.860749
300,9,0.75,0.6,0.5,1,2,2592.178375
300,9,0.75,0.6,0.7,1,2,2973.112727
300,9,0.75,0.6,0.9,1,2,3212.130139
300,12,0.25,0.2,0.5,1,2,1297.392941
300,12,0.25,0.2,0.7,1,2,1506.594236
300,12,0.25,0.2,0.9,1,2,1646.101996
300,12,0.25,0.4,0.5,1,2,1477.945148
300,12,0.25,0.4,0.7,1,2,1771.251242
300,12,0.25,0.4,0.9,1,2,1981.041378
300,12,0.25,0.6,0.5,1,2,1576.352137
300,12,0.25,0.6,0.7,1,2,1922.383252
300,12,0.25,0.6,0.9,1,2,2179.813305
300,12,0.5,0.2,0.5,1,2,1619.761296
300,12,0.5,0.2,0.7,1,2,1818.152358
300,12,0.5,0.2,0.9,1,2,1940.342412
300,12,0.5,0.4,0.5,1,2,1864.796539
300,12,0.5,0.4,0.7,1,2,2155.074318
300,12,0.5,0.4,0.9,1,2,2345.766563
300,12,0.5,0.6,0.5,1,2,2009.510877
300,12,0.5,0.6,0.7,1,2,2363.257042
300,12,0.5,0.6,0.9,1,2,2605.066655
300,12,0.75,0.2,0.5,1,2,2330.313114
300,12,0.75,0.2,0.7,1,2,2498.580985
300,12,0.75,0.2,0.9,1,2,2591.067081
300,12,0.75,0.4,0.5,1,2,2656.172631
